28,2025-05-27T16:02:08.396052,🟢 calm,0.0,0.785,0.23,1738,0.3,0.0
28,2025-05-27T16:12:39.331082,🟢 calm,0.0,0.785,0.23,1741,0.3,0.0
28,2025-05-27T16:12:39.668084,🟢 calm,0.0,0.785,0.23,1742,0.3,0.0
28,2025-05-27T16:12:39.996615,🟢 calm,0.0,0.785,0.23,1742,0.3,0.0
28,2025-05-27T16:12:40.323615,🟢 calm,0.0,0.785,0.23,1743,0.3,0.0
28,2025-05-27T16:12:40.649646,🟢 calm,0.0,0.785,0.23,1743,0.3,0.0
28,2025-05-27T16:12:40.978616,🟢 calm,0.0,0.785,0.23,1743,0.3,0.0
28,2025-05-27T16:12:41.308649,🟢 calm,0.0,0.785,0.23,1743,0.3,0.0
28,2025-05-27T16:12:41.637648,🟢 calm,0.0,0.785,0.23,1744,0.3,0.0
28,2025-05-27T16:12:41.969426,🟢 calm,0.0,0.785,0.23,1744,0.3,0.0
28,2025-05-27T16:12:42.296948,🟢 calm,0.0,0.785,0.23,1744,0.3,0.0
28,2025-05-27T16:12:42.623638,🟢 calm,0.0,0.785,0.23,1745,0.3,0.0
28,2025-05-27T16:12:42.952679,🟢 calm,0.0,0.785,0.23,1745,0.3,0.0
28,2025-05-27T16:12:43.282006,🟢 calm,0.0,0.785,0.23,1745,0.3,0.0
28,2025-05-27T16:12:43.622074,🟢 calm,0.0,0.785,0.23,1746,0.3,0.0
28,2025-05-27T16:12:43.955461,🟢 calm,0.0,0.785,0.23,1746,0.3,0.0
28,2025-05-27T16:12:44.281512,🟢 calm,0.0,0.785,0.23,1746,0.3,0.0
28,2025-05-27T16:12:44.606053,🟢 calm,0.0,0.785,0.23,1747,0.3,0.0
28,2025-05-27T16:12:44.937535,🟢 calm,0.0,0.785,0.23,1747,0.3,0.0
28,2025-05-27T16:12:45.264666,🟢 calm,0.0,0.785,0.23,1747,0.3,0.0
28,2025-05-27T16:12:45.592999,🟢 calm,0.0,0.785,0.23,1748,0.3,0.0
28,2025-05-27T16:12:45.920048,🟢 calm,0.0,0.785,0.23,1748,0.3,0.0
28,2025-05-27T16:12:46.249225,🟢 calm,0.0,0.785,0.23,1748,0.3,0.0
28,2025-05-27T16:12:46.576122,🟢 calm,0.0,0.785,0.23,1749,0.3,0.0
28,2025-05-27T16:12:46.904385,🟢 calm,0.0,0.785,0.23,1749,0.3,0.0
28,2025-05-27T16:12:47.232575,🟢 calm,0.0,0.785,0.23,1749,0.3,0.0
28,2025-05-27T16:12:47.563715,🟢 calm,0.0,0.785,0.23,1750,0.3,0.0
28,2025-05-27T16:12:47.890660,🟢 calm,0.0,0.785,0.23,1750,0.3,0.0
28,2025-05-27T16:12:48.217833,🟢 calm,0.0,0.785,0.23,1750,0.3,0.0
28,2025-05-27T16:12:48.542306,🟢 calm,0.0,0.785,0.23,1751,0.3,0.0
28,2025-05-27T16:12:48.873187,🟢 calm,0.0,0.785,0.23,1751,0.3,0.0
28,2025-05-27T16:12:49.202956,🟢 calm,0.0,0.785,0.23,1751,0.3,0.0
28,2025-05-27T16:12:49.532517,🟢 calm,0.0,0.785,0.23,1752,0.3,0.0
28,2025-05-27T16:12:49.866592,🟢 calm,0.0,0.785,0.23,1752,0.3,0.0
28,2025-05-27T16:12:50.191547,🟢 calm,0.0,0.785,0.23,1752,0.3,0.0
28,2025-05-27T16:12:50.522884,🟢 calm,0.0,0.785,0.23,1753,0.3,0.0
28,2025-05-27T16:12:50.847165,🟢 calm,0.0,0.785,0.23,1753,0.3,0.0
28,2025-05-27T16:12:51.172651,🟢 calm,0.0,0.785,0.23,1753,0.3,0.0
28,2025-05-27T16:12:51.501003,🟢 calm,0.0,0.785,0.23,1754,0.3,0.0
28,2025-05-27T16:12:51.828855,🟢 calm,0.0,0.785,0.23,1754,0.3,0.0
28,2025-05-27T16:12:52.158931,🟢 calm,0.0,0.785,0.23,1754,0.3,0.0
28,2025-05-27T16:12:52.500928,🟢 calm,0.0,0.785,0.23,1755,0.3,0.0
28,2025-05-27T16:12:52.988001,🟢 calm,0.0,0.785,0.23,1755,0.3,0.0
